brand,event_date,year,month,spike_zscore,baseline_hype,pre_drop_buzz,hype_score_t0,hype_peak,hype_peak_day,hype_lift_pct,hype_d7,hype_d30,hype_d60,hype_decay_halflife,days_since_last_event,prev_state,state_t0,state_d7,state_d30
Dior,2018-10-14,2018,10,2.33,37.88,35.1,54.67,55.0,20,45.21,43.67,34.0,41.2,1.9,140.0,VIRAL,VIRAL,VIRAL,VIRAL
Dior,2019-05-02,2019,5,2.49,28.91,37.11,38.5,48.75,3,68.63,32.5,34.5,28.5,2.2,200.0,VIRAL,VIRAL,HIGH,VIRAL
Dior,2020-05-02,2020,5,3.23,27.74,36.34,55.6,55.6,0,100.4,24.8,30.4,32.8,0.7,366.0,VIRAL,VIRAL,MEDIUM,HIGH
Dior,2020-10-01,2020,10,2.19,30.33,30.94,46.8,46.8,0,54.31,24.4,23.2,38.8,0.3,152.0,HIGH,VIRAL,MEDIUM,MEDIUM
Dior,2021-06-01,2021,6,2.38,29.25,34.63,26.8,35.8,10,22.41,25.8,21.4,24.4,0.4,243.0,HIGH,HIGH,HIGH,MEDIUM
Dior,2021-10-19,2021,10,3.23,29.53,34.37,46.4,51.4,3,74.07,29.0,15.0,22.6,0.3,140.0,VIRAL,VIRAL,HIGH,MEDIUM
Dior,2022-05-02,2022,5,4.71,30.06,41.2,67.6,67.6,0,124.89,54.2,25.4,40.4,4.4,195.0,VIRAL,VIRAL,VIRAL,HIGH
Dior,2022-12-26,2022,12,2.31,36.74,43.31,63.6,63.6,0,73.13,41.4,27.0,23.6,0.3,238.0,VIRAL,VIRAL,VIRAL,HIGH
Dior,2023-11-09,2023,11,3.72,32.61,44.14,45.4,62.4,15,91.36,39.6,38.8,37.6,2.3,318.0,VIRAL,VIRAL,VIRAL,VIRAL
Dior,2024-12-02,2024,12,3.34,34.21,47.03,55.6,58.6,23,71.3,39.2,29.6,37.4,0.9,389.0,VIRAL,VIRAL,VIRAL,HIGH
Dior,2025-11-30,2025,11,3.54,56.45,72.57,83.8,83.8,0,48.46,64.6,55.6,62.6,3.3,363.0,VIRAL,VIRAL,VIRAL,VIRAL
Hermès,2010-04-18,2010,4,3.74,32.35,35.79,52.67,55.0,7,70.03,55.0,41.67,22.5,0.3,,LOW,VIRAL,VIRAL,HIGH
Hermès,2010-09-17,2010,9,4.05,42.85,46.14,80.75,80.75,0,88.47,46.75,38.6,33.2,0.4,152.0,HIGH,VIRAL,HIGH,MEDIUM
Hermès,2011-07-30,2011,7,3.66,33.93,46.09,49.8,53.8,22,58.55,34.4,31.0,49.83,0.3,316.0,HIGH,HIGH,MEDIUM,LOW
Hermès,2011-12-27,2011,12,2.94,33.67,42.18,62.2,75.4,3,123.94,32.2,36.6,40.6,0.6,150.0,HIGH,VIRAL,MEDIUM,MEDIUM
